method,h,state_0_abs_error,state_1_abs_error,state_2_abs_error,state_3_abs_error,max_abs_error
Numerov,0.01603206412825651,1.7428523024776155e-06,1.8064132412121126e-09,7.834138406437319e-06,1.625888534917408e-08,7.834138406437319e-06
Numerov,0.010012515644555695,4.246443199296124e-07,2.746052274460453e-10,1.909769008268114e-06,2.473184768092551e-09,1.909769008268114e-06
Numerov,0.006672226855713094,1.2567478213654226e-07,5.405675906899887e-11,5.653369750113768e-07,4.876761217076364e-10,5.653369750113768e-07
Numerov,0.0044469149527515284,3.720799246487161e-08,1.0520029292138133e-11,1.673985390304722e-07,9.641842879659634e-11,1.673985390304722e-07
Numerov,0.003201280512204882,1.3881430005469042e-08,3.0726532429525832e-12,6.245707817598145e-08,2.595745840494601e-11,6.245707817598145e-08
RK4,0.01603206412825651,3.4362201972726325e-10,5.15992359950701e-09,2.2355005846463882e-08,6.017765841193068e-08,6.017765841193068e-08
RK4,0.010012515644555695,5.2685633633586804e-11,7.846892025042962e-10,3.401250836532199e-09,9.158433122991028e-09,9.158433122991028e-09
RK4,0.006672226855713094,1.0723644194854387e-11,1.552589168341001e-10,6.709255373493761e-10,1.806696126038787e-09,1.806696126038787e-09
RK4,0.0044469149527515284,2.3314683517128287e-12,3.030597994779782e-11,1.319468978522309e-10,3.566773543184354e-10,3.566773543184354e-10
RK4,0.003201280512204882,4.662936703425657e-13,7.926104217403918e-12,3.496847256201363e-11,9.558043245760928e-11,9.558043245760928e-11
